,distance from center,left,right
61,-0.376872627121,682.969233755,573.003950909
62,-0.377268951412,722.066740787,616.383582162
63,-0.37731830044,736.279224325,705.11588353
64,-0.375210154833,737.250267648,837.651351841
65,-0.370440639479,712.257841003,989.308485653
66,-0.363227335251,679.458629924,1117.38528147
67,-0.35602694739,644.932022174,1390.72093366
68,-0.348281215057,606.575898316,1674.6712075
69,-0.340827504609,574.777281801,2128.85462018
70,-0.336151324532,550.755441855,3054.11470573
71,-0.326219703344,530.625566717,2020.45837115
72,-0.31594075459,529.014229063,1402.03217169
73,-0.305966129346,539.050759862,1036.90564338
74,-0.300629483695,558.643826913,919.738654415
75,-0.297575443407,582.951150824,886.072728817
76,-0.296185545103,621.08461599,909.037632547
77,-0.295450583129,668.268683566,964.116439802
78,-0.294608322697,721.081999786,1153.98180421
79,-0.291615470713,777.915320506,1358.50090113
80,-0.28789481937,868.357051421,1392.94879372
81,-0.283426177882,975.545291671,1390.34764033
82,-0.279399491485,1082.24259691,1607.17977129
83,-0.276289220355,1220.44154728,1727.60246598
84,-0.27229719573,1353.71894859,1789.10658573
85,-0.258797810572,1418.85982792,1013.7030992
86,-0.25096466756,1424.90969536,772.506052198
87,-0.25004631756,1351.23033071,774.06105671
88,-0.252946289648,1229.18089154,929.832607795
89,-0.2545491253,1095.64325188,1191.68979492
90,-0.253913204504,967.151287996,1618.29126753
91,-0.251890508045,878.722709605,2097.20834188
92,-0.248372822316,793.077115158,2133.41990777
93,-0.245972708982,728.429387545,2858.55754415
94,-0.242909960607,679.840805314,3746.31136493
95,-0.241685953767,636.992452638,5245.86590931
96,-0.232007379937,610.561840346,1998.54979476
97,-0.221982535015,599.345466632,1086.19215591
98,-0.216260775176,584.755923415,812.787005657
99,-0.215193553357,580.517979566,718.636131947
100,-0.217527684847,575.289482042,696.431356722
101,-0.223522140263,571.317541745,783.94520021
102,-0.229027840648,574.20087823,876.777855062
103,-0.233137853708,573.044997046,977.805440102
104,-0.237116223041,578.810089468,1046.99602752
105,-0.242215324104,590.591652919,1192.80279996
106,-0.247182885368,596.998066901,1334.47857254
107,-0.252224817399,601.822678653,1431.07586865
108,-0.256126933844,602.30822075,1383.03826539
109,-0.260372614918,607.473857031,1377.17459534
110,-0.258341566784,611.358731459,934.530318562
111,-0.259321200612,613.839808898,760.270363405
112,-0.263534883106,612.832944098,694.875187518
113,-0.270894323448,604.599907268,710.43171139
114,-0.279869609006,588.488255855,807.583744409
115,-0.287533984392,570.425412611,994.37152636
116,-0.293086783488,555.572164148,1221.14184979
117,-0.297757526975,544.390535223,1524.58660063
118,-0.301226540088,532.628983244,1614.69402099
119,-0.304666944789,524.22210836,1568.91781402
120,-0.308978014347,518.537370547,1665.60761984
121,-0.305856571449,511.247762915,984.472137806
122,-0.302122375773,508.062056059,686.6574991
123,-0.302733450415,504.172804094,564.396198708
124,-0.306684458279,498.912993902,510.64506611
125,-0.31464082484,496.328531038,505.445486439
126,-0.314166357022,490.189052159,431.802255139
127,-0.319658550243,486.618375736,413.064822979
128,-0.325685049741,477.413344382,404.654697706
129,-0.330651675446,468.367700157,399.443386439
130,-0.33700327612,463.822201716,410.384906712
131,-0.343914974192,460.366449385,444.937866872
132,-0.350847269534,461.783970108,476.049825114
133,-0.358541410578,466.321708759,511.957903278
134,-0.362860051201,472.728211227,498.726141851
135,-0.367665733165,485.166011516,486.06669986
136,-0.371913121228,498.245480191,477.390234755
137,-0.376612015691,515.579829034,476.85153653
138,-0.378083681259,536.016446434,447.270688993
139,-0.381947457287,558.856648987,443.131688512
140,-0.388065582598,572.955223387,479.798514681
141,-0.391179384814,583.147573995,498.457063304
142,-0.392595410132,583.336787567,501.789939928
143,-0.392995699528,581.444760118,523.242703364
144,-0.393952675061,579.186796138,602.5797123
145,-0.394757987821,581.361140773,688.95049576
146,-0.399783852801,581.887700513,850.620908943
147,-0.400420357429,595.166346717,855.00927593
148,-0.400992112347,606.423077229,855.356800663
149,-0.39908098083,625.324763587,789.331962644
150,-0.392478572301,648.537110278,666.64927456
151,-0.389727612967,676.876622526,629.991287803
152,-0.386938558306,696.374825862,598.184856581
153,-0.387471440142,719.43132485,640.064344222
